command,action
turn right and act forward,move_right
lurch right if you're in trouble,move_right
change right if you're in trouble,move_right
budge right if you're in trouble,move_right
stir right if you're in trouble,move_right
transfer right if you're in trouble,move_right
pitch right if you're in trouble,move_right
shift correct if you're in trouble,move_right
shift right if you're in bother,move_right
shift right if you're in disturb,move_right
"don't hesitate, pass away right",move_right
"don't hesitate, lead right",move_right
"don't hesitate, function right",move_right
"don't hesitate, fit right",move_right
"don't hesitate, survive right",move_right
"don't hesitate, start right",move_right
"don't hesitate, live right",move_right
"don't hesitate, last right",move_right
"don't hesitate, belong right",move_right
"don't hesitate, move right",move_right
"don't hesitate, endure right",move_right
"don't hesitate, proceed right",move_right
"don't hesitate, run right",move_right
"don't hesitate, sound right",move_right
"don't hesitate, get right",move_right
"don't hesitate, depart right",move_right
"don't hesitate, become right",move_right
"don't hesitate, work right",move_right
"don't hesitate, fail right",move_right
"don't hesitate, extend right",move_right
"don't hesitate, operate right",move_right
"don't hesitate, die right",move_right
"don't hesitate, pass right",move_right
